,B1,B2,B3,B4,B5,B6,B7,date
989,483.0,718.0,1225.0,1560.0,2760.0,3064.0,2336.0,2.0
990,535.0,631.0,1016.0,1556.0,2210.0,3378.0,2798.0,2.0
991,302.0,406.0,809.0,1335.0,1911.0,3082.0,2380.0,2.0
992,601.0,769.0,1168.0,1361.0,2381.0,3032.0,2357.0,2.0
993,984.0,1291.0,1926.0,2371.0,3208.0,4514.0,3654.0,2.0
994,1459.0,1837.0,2728.0,3308.0,4341.0,5562.0,4581.0,2.0
995,,,,,,,,2.0
996,1152.0,1419.0,2390.0,3222.0,4146.0,4766.0,4190.0,2.0
997,1220.0,1514.0,2461.0,3157.0,4561.0,4717.0,3989.0,2.0
998,1390.5,1706.5,2788.0,3847.5,4846.0,5445.0,4593.0,2.0
999,936.5,1087.0,1858.0,2496.5,3460.5,3908.5,3053.5,2.0
